client_id,total_properties_owned,total_investment_value,average_property_value,average_floor_area,age,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,cluster,buyer_segment
C0001,4,1246764.72,311691.18,983.885,58.0,Individual,F,Usa,California,Home,Yes,Website,4.0,1,Corporate Investors
C0003,5,1661457.59,332291.518,1058.11,67.0,Individual,M,Usa,California,Home,Yes,Agency,4.0,2,Global Investors
C0006,5,1514131.06,302826.212,989.59,69.0,Individual,M,Usa,California,Home,Yes,Website,3.0,1,Corporate Investors
C0009,5,1820832.35,364166.47,1305.644,51.0,Individual,M,Usa,California,Investment,No,Agency,5.0,2,Global Investors
C0013,5,2142750.89,428550.178,1407.376,64.0,Individual,M,Usa,California,Home,Yes,Website,1.0,2,Global Investors
C0014,4,1548140.0699999998,387035.0175,1280.5425,46.0,Company,M,Usa,California,Home,Yes,Website,3.0,2,Global Investors
C0016,4,1010217.73,252554.4325,842.145,87.0,Individual,F,Usa,California,Investment,No,Website,5.0,1,Corporate Investors
C0017,5,1778693.75,355738.75,1195.814,49.0,Individual,M,Usa,Arizona,Home,No,Client,3.0,2,Global Investors
C0018,4,1061478.67,265369.6675,913.8325,59.0,Individual,M,Usa,California,Home,Yes,Agency,2.0,1,Corporate Investors
C0019,4,1773474.26,443368.565,1402.0425,69.0,Individual,M,Usa,California,Home,Yes,Client,5.0,2,Global Investors
C0021,6,1928172.72,321362.12,1028.86,88.0,Individual,M,Usa,Oregon,Investment,No,Website,3.0,0,First-Time Buyers
C0023,5,1457871.69,291574.338,948.388,68.0,Individual,M,Usa,California,Home,Yes,Website,3.0,1,Corporate Investors
C0024,6,1884156.9,314026.15,1053.735,63.0,Individual,M,Usa,California,Investment,No,Website,4.0,0,First-Time Buyers
C0027,5,1517969.44,303593.888,1070.234,58.0,Individual,M,Usa,California,Home,Yes,Website,5.0,2,Global Investors
C0032,5,1888995.16,377799.032,1282.528,60.0,Individual,M,Usa,California,Home,No,Website,4.0,2,Global Investors
C0035,5,1987876.4,397575.28,1445.752,61.0,Individual,M,Mexico,Mexico City,Home,No,Agency,3.0,2,Global Investors
C0036,4,1173683.53,293420.8825,963.325,53.0,Individual,M,Usa,California,Home,No,Website,4.0,1,Corporate Investors
C0042,4,1101390.25,275347.5625,913.8425,51.0,Individual,F,Usa,Utah,Home,Yes,Website,1.0,1,Corporate Investors
C0043,4,1126492.46,281623.115,983.505,61.0,Individual,M,Usa,Nevada,Investment,Yes,Website,3.0,1,Corporate Investors
C0045,5,1463432.36,292686.47199999995,913.774,58.0,Individual,M,Usa,Colorado,Investment,No,Agency,2.0,1,Corporate Investors
C0050,9,2744452.35,304939.15,993.5088888888888,86.0,Individual,M,Usa,California,Home,No,Website,5.0,0,First-Time Buyers
C0051,4,1270440.42,317610.105,1039.56,85.0,Individual,F,Usa,Colorado,Home,No,Agency,3.0,1,Corporate Investors
C0052,4,1474211.53,368552.8825,1187.925,59.0,Individual,F,Usa,Oregon,Investment,No,Client,2.0,2,Global Investors
C0053,4,1120539.44,280134.86,929.245,72.0,Individual,M,Usa,Arizona,Home,No,Agency,4.0,1,Corporate Investors
C0055,4,1178979.21,294744.8025,989.83,53.0,Individual,F,Usa,California,Home,Yes,Agency,5.0,1,Corporate Investors
C0056,4,1579301.36,394825.34,1355.5975,62.0,Individual,M,Usa,Oregon,Investment,No,Agency,5.0,2,Global Investors
C0057,5,2020519.52,404103.904,1344.1439999999998,93.0,Individual,M,Usa,California,Home,Yes,Agency,4.0,2,Global Investors
C0058,5,1441406.17,288281.234,919.84,57.0,Company,F,Usa,California,Investment,Yes,Website,1.0,1,Corporate Investors
