region,Buyers,Average_Investment
Alberta,12,1116149.0466666666
Arizona,40,1239163.15275
Baja California,3,1261835.5599999998
Bavaria,5,1166011.478
Berlin,5,1224488.186
British Columbia,10,1195778.158
Brittany,8,1363998.7675
Brussels,6,1494659.3083333333
California,272,1289781.1428308825
Capital Region,2,1736597.505
Colorado,49,1241209.7267346939
England,11,1479451.9536363636
Flanders,4,1072466.655
Florida,19,1273453.7626315788
Georgia,14,1237490.8214285714
Hamburg,7,1175925.5628571429
Hesse,4,1081829.79
Ile-De-France,4,1173900.835
Jalisco,4,1338620.5899999999
Krasnodar Krai,5,1096263.8620000002
Manitoba,10,1146662.149
Mexico City,2,1477973.52
Moscow Oblast,1,1377591.46
Nevada,68,1256116.9577941175
New South Wales,4,1098700.2149999999
New York,23,1207988.9895652174
Normandy,2,961586.665
North Denmark,2,1449833.12
North Rhine-Westphalia,2,2342119.245
Northern Ireland,12,1281957.3083333333
Novosibirsk,1,1006584.7
Nuevo Leon,3,1316465.5733333332
Occitanie,3,1293057.0066666666
Ohio,12,1180818.2033333334
Ontario,7,1158442.7114285715
Oregon,40,1336111.30075
Provence,4,1103464.35
Puebla,5,1148903.97
Quebec,5,1174762.452
Queensland,3,969093.2399999999
Saint Petersburg,7,1299805.142857143
Scotland,13,1477457.0130769233
South Australia,1,1069904.1
Southern Denmark,2,1515427.415
Tatarstan,2,1313912.8599999999
Texas,23,1194219.4426086957
Utah,46,1229447.4956521739
Victoria,8,1115241.54125
Virginia,21,1403049.769047619
Wales,6,1205488.9033333333
Wallonia,6,1342454.7
Washington,24,1212469.5829166665
Western Australia,2,860159.46
Zealand,1,1576416.87
